year	quarter	period 	effective lower bound 	recession 	probit results for 10y/2y spread 	probit results for near-term forward spread
1972	1	1972M3 	  	  	0.06	0
1972	2	1972M6 	  	  	0.11	0
1972	3	1972M9 	  	  	0.16	0
1972	4	1972M12 	  	  	0.23	0.03
1973	1	1973M3 	  	  	0.44	0.13
1973	2	1973M6 	  	  	0.55	0.58
1973	3	1973M9 	  	  	0.78	0.99
1973	4	1973M12 	  	1	0.57	0.96
1974	1	1974M3 	  	1	0.46	0.96
1974	2	1974M6 	  	1	0.71	0.81
1974	3	1974M9 	  	1	0.71	0.62
1974	4	1974M12 	  	1	0.5	0.52
1975	1	1975M3 	  	1	0.17	0.04
1975	2	1975M6 	  	  	0.16	0
1975	3	1975M9 	  	  	0.38	0
1975	4	1975M12 	  	  	0.16	0
1976	1	1976M3 	  	  	0.09	0
1976	2	1976M6 	  	  	0.13	0
1976	3	1976M9 	  	  	0.08	0
1976	4	1976M12 	  	  	0.03	0.02
1977	1	1977M3 	  	  	0.05	0
1977	2	1977M6 	  	  	0.05	0.01
1977	3	1977M9 	  	  	0.13	0.04
1977	4	1977M12 	  	  	0.24	0.07
1978	1	1978M3 	  	  	0.23	0.04
1978	2	1978M6 	  	  	0.34	0.01
1978	3	1978M9 	  	  	0.47	0.1
1978	4	1978M12 	  	  	0.74	0.57
1979	1	1979M3 	  	  	0.79	0.82
1979	2	1979M6 	  	  	0.68	0.84
1979	3	1979M9 	  	  	0.69	0.95
1979	4	1979M12 	  	  	0.87	1
1980	1	1980M3 	  	1	0.92	1
1980	2	1980M6 	  	1	0.29	0.57
1980	3	1980M9 	  	  	0.23	0.03
1980	4	1980M12 	  	  	0.79	1
1981	1	1981M3 	  	  	0.66	1
1981	2	1981M6 	  	  	0.86	0.99
1981	3	1981M9 	  	1	0.93	0.8
1981	4	1981M12 	  	1	0.43	0
1982	1	1982M3 	  	1	0.58	0.07
1982	2	1982M6 	  	1	0.65	0.05
1982	3	1982M9 	  	1	0.36	0
1982	4	1982M12 	  	1	0.13	0
1983	1	1983M3 	  	  	0.06	0
1983	2	1983M6 	  	  	0.08	0.01
1983	3	1983M9 	  	  	0.1	0
1983	4	1983M12 	  	  	0.06	0
1984	1	1984M3 	  	  	0.06	0
1984	2	1984M6 	  	  	0.09	0
1984	3	1984M9 	  	  	0.26	0
1984	4	1984M12 	  	  	0.1	0
1985	1	1985M3 	  	  	0.03	0
1985	2	1985M6 	  	  	0.02	0
1985	3	1985M9 	  	  	0.01	0
1985	4	1985M12 	  	  	0.02	0
1986	1	1986M3 	  	  	0.08	0.05
1986	2	1986M6 	  	  	0.14	0.03
1986	3	1986M9 	  	  	0.05	0.02
1986	4	1986M12 	  	  	0.03	0.03
1987	1	1987M3 	  	  	0.06	0.08
1987	2	1987M6 	  	  	0.07	0
1987	3	1987M9 	  	  	0.04	0
1987	4	1987M12 	  	  	0.04	0
1988	1	1988M3 	  	  	0.03	0
1988	2	1988M6 	  	  	0.04	0
1988	3	1988M9 	  	  	0.12	0.01
1988	4	1988M12 	  	  	0.28	0.12
1989	1	1989M3 	  	  	0.55	0.21
1989	2	1989M6 	  	  	0.53	0.43
1989	3	1989M9 	  	  	0.4	0.61
1989	4	1989M12 	  	  	0.38	0.58
1990	1	1990M3 	  	  	0.38	0.25
1990	2	1990M6 	  	  	0.36	0.13
1990	3	1990M9 	  	1	0.16	0.18
1990	4	1990M12 	  	1	0.11	0.16
1991	1	1991M3 	  	1	0.05	0.03
1991	2	1991M6 	  	  	0.03	0
